iso3c,country,year,SH.XPD.CHEX.GD.ZS,SH.MED.PHYS.ZS,SH.MED.NUMW.P3,SH.MED.BEDS.ZS,SP.DYN.LE00.IN,NY.GDP.PCAP.PP.KD,SP.POP.TOTL,SE.ADT.LITR.ZS,IT.NET.USER.ZS,GB.XPD.RSDV.GD.ZS,country_name_wdi,global_group,region,include_flag,who_name_override,wgi_name_override,notes.x,degree,strength,eigen,betweenness,closeness,local_clustering,network_density,network_clustering,network_components,life_expectancy,health_spending,physicians,nurses,hospital_beds,internet,gdp_pc_ppp,population,l_life_expectancy,l_degree,l_strength,l_eigen,l_network_density,l_network_clustering,GHED_EXTCHE_SHA2011,UHC_INDEX_REPORTED,UHC_SCI_CAPACITY,UHC_SCI_INFECT,UHC_SCI_NCD,UHC_SCI_RMNCH,SDGIHR,UHC_IHR,SDGIHR2018,SDGIHR2021,UHC_AVAILABILITY_SCORE,un_degree,un_strength,un_eigen,un_betweenness,un_closeness,un_local_clustering,un_network_density,un_network_clustering,un_network_components,notes.y,un_votes_total,un_votes_yes,un_votes_no,un_votes_abstain,un_yes_share,un_no_share,un_abstain_share,l_un_eigen,l_un_degree,l_un_strength,l_UHC_INDEX_REPORTED,l_SDGIHR2021,l_GHED_EXTCHE_SHA2011
AGO,Angola,2004,3.46084046,0.063,0.994,0.75,51.123,8081.75707952672,18600423,NA,0.464814617985909,NA,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA,0.0707070707070707,4.673825519962001,0.5020623371104155,0.01298701298701298,0.09478615618329946,0.2857142857142857,0.0703030303030303,0.5013412698412696,1,51.123,3.46084046,0.063,0.994,0.75,0.464814617985909,8081.75707952672,18600423,NA,NA,NA,NA,NA,NA,1.92934799,30,31,11,56,41,NA,NA,NA,NA,NA,0.24242424242424243,22.66695885402877,0,0.02618016903731189,0.527854512078412,0.46376811594202894,0.15393939393939393,0.5900062761855849,2,NA,73,51,0,3,0.6986301369863014,0,0.0410958904109589,NA,NA,NA,NA,NA,NA
AGO,Angola,2005,2.54726577,0.07680000000000001,1.0592,0.75,52.13,8895.37660461036,19291161,NA,1.143399954,NA,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA,0.06060606060606061,4.304090959186196,0.22272853064257817,0,0.08286643299707189,0.6666666666666667,0.07010101010101011,0.5399432234432231,1,52.13,2.54726577,0.07680000000000001,1.0592,0.75,1.143399954,8895.37660461036,19291161,51.123,0.0707070707070707,4.673825519962001,0.5020623371104155,0.0703030303030303,0.5013412698412696,3.03782797,31,32,12,57,42,NA,NA,NA,NA,NA,0.12121212121212122,11.202482482021022,0,0.00267985982271696,0.5259224019403443,0.5151515151515151,0.15313131313131317,0.6098658794170678,2,NA,75,29,0,5,0.38666666666666666,0,0.06666666666666667,0,0.24242424242424243,22.66695885402877,30,NA,1.92934799
AGO,Angola,2006,2.39833426,0.0906,1.1244,0.75,52.965,9588.82238860962,20015279,NA,1.5,NA,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA,0.0505050505050505,3.65968294083795,0.48018222006208966,0,0.08483922356692364,0.9,0.0698989898989899,0.5350836940836942,1,52.965,2.39833426,0.0906,1.1244,0.75,1.5,9588.82238860962,20015279,52.13,0.06060606060606061,4.304090959186196,0.22272853064257817,0.07010101010101011,0.5399432234432231,5.85645962,34,33,17,57,42,NA,NA,NA,NA,NA,0.15151515151515152,14.064592766128518,2.7448498774461922e-15,0.00494743351886209,0.5285543741485592,0.5523809523809524,0.1496969696969697,0.5817354365182462,2,NA,101,87,0,5,0.8613861386138614,0,0.04950495049504951,0,0.12121212121212122,11.202482482021022,31,NA,3.03782797
AGO,Angola,2007,2.65790844,0.1044,1.1896,0.75,54.2,10437.5899897179,20778561,NA,1.700000048,NA,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA,0.0505050505050505,3.5873696537991977,0.222178272222341,0,0.09233781247661102,0.8,0.0698989898989899,0.549696026196026,1,54.2,2.65790844,0.1044,1.1896,0.75,1.700000048,10437.5899897179,20778561,52.965,0.0505050505050505,3.65968294083795,0.48018222006208966,0.0698989898989899,0.5350836940836942,2.69763899,37,33,23,58,43,NA,NA,NA,NA,NA,0.1111111111111111,10.149921746476371,0,0.00144300144300144,0.4865437675554226,0.7090909090909091,0.1496969696969697,0.608370138089276,2,NA,79,44,0,6,0.5569620253164557,0,0.0759493670886076,2.7448498774461922e-15,0.15151515151515152,14.064592766128518,34,NA,5.85645962
AGO,Angola,2008,2.97807598,0.1182,1.2548,0.75,55.281,11134.7047183666,21578655,NA,1.899999976,NA,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA,0.0707070707070707,4.9235562979474405,0.08612899319264304,0.01669758812615955,0.09236243931542223,0.4285714285714286,0.07050505050505051,0.5349568209568212,1,55.281,2.97807598,0.1182,1.2548,0.75,1.899999976,11134.7047183666,21578655,54.2,0.0505050505050505,3.5873696537991977,0.222178272222341,0.0698989898989899,0.549696026196026,2.4888041,38,34,25,58,43,NA,NA,NA,NA,NA,0.16161616161616163,15.0942576572645,0,0.00267985982271696,0.5496409123269342,0.4583333333333333,0.14505050505050504,0.5963073185196275,2,NA,78,69,1,3,0.8846153846153846,0.01282051282051282,0.03846153846153846,0,0.1111111111111111,10.149921746476371,37,NA,2.69763899
AGO,Angola,2009,3.30655909,0.132,1.32,0.75,56.225,10933.2712187989,22414773,NA,2.299999952,NA,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA,0.0707070707070707,4.871238667210483,0.6470918737774071,0.02102659245516388,0.10158115757586454,0.5714285714285714,0.0707070707070707,0.5610075480075479,1,56.225,3.30655909,0.132,1.32,0.75,2.299999952,10933.2712187989,22414773,55.281,0.0707070707070707,4.9235562979474405,0.08612899319264304,0.07050505050505051,0.5349568209568212,3.82744431,38,35,23,58,44,NA,NA,NA,NA,NA,0.2727272727272727,26.080343163398265,2.1567555349404303e-15,0.04968047825190682,0.6143681903108968,0.35327635327635326,0.14686868686868687,0.5974254347005826,2,NA,68,62,0,2,0.9117647058823528,0,0.02941176470588235,0,0.16161616161616163,15.0942576572645,38,NA,2.4888041
AGO,Angola,2010,2.36373854,0.14200000000000002,1.217888888888889,0.75,57.242,11077.1301919405,23294825,NA,2.799999952,NA,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA,0.0505050505050505,3.5164967686143926,0.12250210561786584,0,0.09433068482599163,0.8,0.06888888888888889,0.5486450771450773,1,57.242,2.36373854,0.14200000000000002,1.217888888888889,0.75,2.799999952,11077.1301919405,23294825,56.225,0.0707070707070707,4.871238667210483,0.6470918737774071,0.0707070707070707,0.5610075480075479,3.24644613,38,34,25,58,44,NA,NA,NA,NA,NA,0.2222222222222222,21.20658273570406,0.5731407899917275,0.01546072974644403,0.5883812769353302,0.38528138528138534,0.1434343434343434,0.5894803740581499,2,NA,72,60,0,3,0.8333333333333334,0,0.04166666666666666,2.1567555349404303e-15,0.2727272727272727,26.080343163398265,38,NA,3.82744431
AGO,Angola,2011,2.35561895,0.152,1.1157777777777778,0.75,58.093,11037.6388778577,24218352,NA,4.699999809,NA,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA,0.0707070707070707,4.843152504670928,0.1777922945802593,8.245722531436817e-4,0.09355559371176254,0.6190476190476191,0.07010101010101011,0.5503687423687423,1,58.093,2.35561895,0.152,1.1157777777777778,0.75,4.699999809,11037.6388778577,24218352,57.242,0.0505050505050505,3.5164967686143926,0.12250210561786584,0.06888888888888889,0.5486450771450773,2.8612268,39,33,26,58,45,41,41,NA,NA,NA,0.1919191919191919,17.948936727349597,0,0.00618429189857761,0.5284613082859211,0.4619883040935673,0.1511111111111111,0.5839670612076229,2,NA,69,51,1,4,0.7391304347826086,0.0144927536231884,0.05797101449275362,0.5731407899917275,0.2222222222222222,21.20658273570406,38,NA,3.24644613
AGO,Angola,2012,2.13677311,0.162,1.0136666666666667,0.75,58.916,11519.9933863364,25177394,NA,7.699999809,NA,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA,0.0707070707070707,4.758254752462428,0.08246983333418796,0.00123685837971552,0.08437540505539486,0.6190476190476191,0.0703030303030303,0.5691846486846484,1,58.916,2.13677311,0.162,1.0136666666666667,0.75,7.699999809,11519.9933863364,25177394,58.093,0.0707070707070707,4.843152504670928,0.1777922945802593,0.07010101010101011,0.5503687423687423,2.17543125,37,32,23,58,45,NA,NA,NA,NA,NA,0.1111111111111111,10.317251095781256,0.34115395381451913,0,0.4935723032087545,0.6909090909090909,0.14767676767676766,0.5743485651536343,2,NA,74,63,0,9,0.8513513513513513,0,0.12162162162162164,0,0.1919191919191919,17.948936727349597,39,NA,2.8612268
AGO,Angola,2013,2.4297719,0.172,0.9115555555555556,0.75,59.705,11626.1877218484,26165620,NA,13,NA,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA,0.06060606060606061,4.265991873718073,0.16092195221204714,0,0.08954715684527247,0.6666666666666667,0.0707070707070707,0.5518717393717393,1,59.705,2.4297719,0.172,0.9115555555555556,0.75,13,11626.1877218484,26165620,58.916,0.0707070707070707,4.758254752462428,0.08246983333418796,0.0703030303030303,0.5691846486846484,2.56596041,37,31,24,59,45,41,41,NA,NA,NA,0.1717171717171717,16.178790431442405,0,0.00226757369614512,0.5009360275447707,0.5808823529411765,0.14626262626262626,0.5773661662176333,2,NA,64,55,0,5,0.859375,0,0.078125,0.34115395381451913,0.1111111111111111,10.317251095781256,37,NA,2.17543125
AGO,Angola,2014,2.15680027,0.182,0.8094444444444444,0.75,60.396,11721.664415634,27160769,66.0299987792969,21.3623407584103,NA,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA,0.0505050505050505,3.3601615453680704,0.2693173839369015,0,0.09456182564109328,0.9,0.0707070707070707,0.5188569763569765,1,60.396,2.15680027,0.182,0.8094444444444444,0.75,21.3623407584103,11721.664415634,27160769,59.705,0.06060606060606061,4.265991873718073,0.16092195221204714,0.0707070707070707,0.5518717393717393,3.17014694,37,23,32,59,45,18,18,NA,NA,NA,0.24242424242424243,22.8689915386305,0.995098143349335,0.0126777983920841,0.5965816745868241,0.43478260869565216,0.1480808080808081,0.5685760723090215,2,NA,80,73,0,6,0.9125,0,0.075,0,0.1717171717171717,16.178790431442405,37,NA,2.56596041
AGO,Angola,2015,2.29966879,0.192,0.7073333333333334,0.75,61.042,11392.9059344932,28157798,66.2399978637695,22,NA,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA,0.06060606060606061,4.0673329505542135,0.13254298687694904,0,0.09157212216142298,0.8,0.0694949494949495,0.5312016317016317,1,61.042,2.29966879,0.192,0.7073333333333334,0.75,22,11392.9059344932,28157798,60.396,0.0505050505050505,3.3601615453680704,0.2693173839369015,0.0707070707070707,0.5188569763569765,2.67032242,39,29,31,59,45,NA,NA,NA,NA,NA,0.16161616161616163,14.64947896246466,0.3256394540711581,0.01484230055658627,0.539898355998031,0.30833333333333335,0.1480808080808081,0.567153062995985,2,NA,78,43,0,7,0.5512820512820513,0,0.08974358974358974,0.995098143349335,0.24242424242424243,22.8689915386305,37,NA,3.17014694
AGO,Angola,2016,2.39068723,0.202,0.6052222222222222,0.75,61.619,10805.7122533667,29183070,NA,23.200000760000002,0.03229,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA,0.06060606060606061,4.1227493489402365,0.5457594967155018,0,0.09846812336559502,0.6,0.0707070707070707,0.5094756909756909,1,61.619,2.39068723,0.202,0.6052222222222222,0.75,23.200000760000002,10805.7122533667,29183070,61.042,0.06060606060606061,4.0673329505542135,0.13254298687694904,0.0694949494949495,0.5312016317016317,3.64164376,40,32,31,59,45,NA,NA,NA,NA,NA,0.12121212121212122,11.363327200992943,0,0.0030921459492888,0.49462069136631914,0.5606060606060607,0.14727272727272728,0.5836588265094463,3,NA,81,71,2,3,0.8765432098765432,0.02469135802469135,0.03703703703703703,0.3256394540711581,0.16161616161616163,14.64947896246466,39,NA,2.67032242
AGO,Angola,2017,2.4379425,0.212,0.5031111111111112,0.75,62.122,10414.2358842987,30234839,NA,26,NA,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA,0.06060606060606061,3.9590206381360105,0.4622805330651216,0.02143887858173572,0.09622053886595083,0.6666666666666667,0.07131313131313131,0.515988566988567,1,62.122,2.4379425,0.212,0.5031111111111112,0.75,26,10414.2358842987,30234839,61.619,0.06060606060606061,4.1227493489402365,0.5457594967155018,0.0707070707070707,0.5094756909756909,3.11478901,42,33,34,59,45,75.23131,NA,NA,NA,NA,0.101010101010101,9.3785720873219791,0.3441379200266601,0,0.4920857983534701,0.7111111111111111,0.15515151515151515,0.5244679341559909,2,NA,94,82,0,9,0.8723404255319149,0,0.09574468085106384,0,0.12121212121212122,11.363327200992943,40,NA,3.64164376
AGO,Angola,2018,2.29887486,0.211,0.401,0.75,62.622,10000.9443772509,31297155,NA,29,NA,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA,0.0505050505050505,3.335495410039326,0.5057250007289604,0,0.08877128838792164,0.7,0.0698989898989899,0.5123425463425463,1,62.622,2.29887486,0.211,0.401,0.75,29,10000.9443772509,31297155,62.122,0.06060606060606061,3.9590206381360105,0.4622805330651216,0.07131313131313131,0.515988566988567,3.63668633,41,29,37,59,46,NA,NA,59,NA,NA,0.42424242424242425,38.95396574736852,1,0.10822510822510822,0.7248157314709697,0.29849012775842043,0.1541414141414141,0.5837201396663696,2,NA,107,88,0,4,0.822429906542056,0,0.03738317757009345,0.3441379200266601,0.101010101010101,9.3785720873219791,42,NA,3.11478901
