iso_o,iso_d,dist,distw,contig,comlang_off,comlang_ethno,colony,comcol,curcol,col45,smctry,log_dist,historical_tie,common_language
AGO,ARE,5805.255,5939.362,0,0,0,0,0,0,0,0,8.66651882081578,0,0
AGO,ARG,7792.03,7977.916,0,0,0,0,0,0,0,0,8.960856695417629,0,0
AGO,AUS,13528.2,12954.91,0,0,0,0,0,0,0,0,9.512531674620522,0,0
AGO,AUT,6357.017,6432.058,0,0,0,0,0,0,0,0,8.757314521150231,0,0
AGO,AZE,6643.251,6652.02,0,0,0,0,0,0,0,0,8.801356731085113,0,0
AGO,BEL,6696.229,6817.662,0,0,0,0,0,0,0,0,8.809299811106623,0,0
AGO,BGD,9121.098,9116.833,0,0,0,0,0,0,0,0,9.118345470558355,0,0
AGO,BGR,5822.248,5962.843,0,0,0,0,0,0,0,0,8.669441720444029,0,0
AGO,BOL,8830.234,8607.54,0,0,0,0,0,0,0,0,9.085936793813124,0,0
AGO,BRA,6559.966,6440.572,0,1,1,0,0,0,0,0,8.788740698997874,0,1
AGO,BWA,2223.578,2013.847,0,0,0,0,0,0,0,0,7.706872889164567,0,0
AGO,CAN,10904.94,11627.29,0,0,0,0,0,0,0,0,9.296971176557319,0,0
AGO,CHE,6235.385,6356.838,0,0,0,0,0,0,0,0,8.737995604403466,0,0
AGO,CHL,8914.097,8947.972,0,0,0,0,0,0,0,0,9.095389235206326,0,0
AGO,CHN,11769.51,11829.97,0,0,0,0,0,0,0,0,9.373267568121786,0,0
AGO,CMR,1424.688,1787.591,0,0,0,0,0,0,0,0,7.261708121361855,0,0
AGO,COL,9911.524,9982.689,0,0,0,0,0,0,0,0,9.201453399556986,0,0
AGO,CRI,10980.7,11066.58,0,0,0,0,0,0,0,0,9.303894465308298,0,0
AGO,CYP,5332.035,5396.996,0,0,0,0,0,0,0,0,8.581488245418091,0,0
AGO,CZE,6560.238,6653.98,0,0,0,0,0,0,0,0,8.788782161767818,0,0
AGO,DEU,6738.352,6825.559,0,0,0,0,0,0,0,0,8.815570663623058,0,0
AGO,DNK,7179.064,7308.257,0,0,0,0,0,0,0,0,8.8789242914274,0,0
AGO,DOM,9602.552,9734.701,0,0,0,0,0,0,0,0,9.16978417546184,0,0
AGO,DZA,5194.244,5223.227,0,0,0,0,0,0,0,0,8.555306368400775,0,0
AGO,ECU,10205.4,10339.43,0,0,0,0,0,0,0,0,9.2306722709481015,0,0
AGO,EGY,4736.951,4814.249,0,0,0,0,0,0,0,0,8.46314895877061,0,0
AGO,ESP,5752.252,5815.769,0,0,0,0,0,0,0,0,8.657346709289616,0,0
AGO,EST,7665.317,7745.417,0,0,0,0,0,0,0,0,8.944461147267445,0,0
AGO,ETH,3464.567,3510.41,0,0,0,0,0,0,0,0,8.150342939890399,0,0
AGO,FIN,7746.235,7962.544,0,0,0,0,0,0,0,0,8.954962197853593,0,0
AGO,FRA,6510.322,6384.804,0,0,0,0,0,0,0,0,8.781144196344984,0,0
AGO,GBR,6837.594,7092.603,0,0,0,0,0,0,0,0,8.830191194350546,0,0
AGO,GEO,6482.799,6526.834,0,0,0,0,0,0,0,0,8.776907640529618,0,0
AGO,GHA,2192.395,2422.776,0,0,0,0,0,0,0,0,7.692749832563631,0,0
AGO,GRC,5325.223,5457.884,0,0,0,0,0,0,0,0,8.580209867635041,0,0
AGO,GTM,11735.94,11836.52,0,0,0,0,0,0,0,0,9.37041120733531,0,0
AGO,HRV,6086.698,6139.053,0,0,0,0,0,0,0,0,8.713861013331783,0,0
AGO,HUN,6296.004,6385.492,0,0,0,0,0,0,0,0,8.747670425421052,0,0
AGO,IDN,10294.87,10408.96,0,0,0,0,0,0,0,0,9.23940099189309,0,0
AGO,IND,8025.968,7771.995,0,0,0,0,0,0,0,0,8.990437563776801,0,0
AGO,IRL,7160.81,7275.03,0,0,0,0,0,0,0,0,8.876378382047767,0,0
AGO,IRN,6368.018,6361.974,0,0,0,0,0,0,0,0,8.75904355415339,0,0
AGO,IRQ,5736.821,5831.624,0,0,0,0,0,0,0,0,8.65466050313899,0,0
AGO,ISL,8642.954,8765.366,0,0,0,0,0,0,0,0,9.064499701512396,0,0
AGO,ISR,5096.148,5173.667,0,0,0,0,0,0,0,0,8.536240239216463,0,0
AGO,ITA,5645.243,5850.538,0,0,0,0,0,0,0,0,8.638568522601467,0,0
AGO,JOR,5140.358,5211.9,0,0,0,0,0,0,0,0,8.544878005829224,0,0
AGO,JPN,13861.75,13676.42,0,0,0,0,0,0,0,0,9.536888527399702,0,0
AGO,KAZ,8643.737,8603.075,0,0,0,0,0,0,0,0,9.064590291435076,0,0
AGO,KEN,2744.311,2758.796,0,0,0,0,0,0,0,0,7.917285320615908,0,0
AGO,KHM,10393.31,10326.07,0,0,0,0,0,0,0,0,9.248917608912272,0,0
AGO,KOR,12705.4,12773.39,0,0,0,0,0,0,0,0,9.449782378926512,0,0
AGO,KWT,5649.504,5693.167,0,0,0,0,0,0,0,0,8.639323032676309,0,0
AGO,LAO,10254.81,10337.57,0,0,0,0,0,0,0,0,9.235502142787306,0,0
AGO,LKA,7594.32,7604.338,0,0,0,0,0,0,0,0,8.935155878434363,0,0
AGO,LTU,7158.965,7297.73,0,0,0,0,0,0,0,0,8.876120696433263,0,0
AGO,LUX,6540.273,6656.551,0,0,0,0,0,0,0,0,8.78573418669929,0,0
AGO,LVA,7388.835,7480.259,0,0,0,0,0,0,0,0,8.907725356048047,0,0
AGO,MAR,5221.762,5301.951,0,0,0,0,0,0,0,0,8.560590171812931,0,0
