iso3c,country_name_wdi,global_group,region,year,un_votes_total,un_votes_yes,un_votes_no,un_votes_abstain,un_yes_share,un_no_share,un_abstain_share
AGO,Angola,Global South,Sub-Saharan Africa,2004,73,51,0,3,0.6986301369863014,0,0.0410958904109589
AGO,Angola,Global South,Sub-Saharan Africa,2005,75,29,0,5,0.38666666666666666,0,0.06666666666666667
AGO,Angola,Global South,Sub-Saharan Africa,2006,101,87,0,5,0.8613861386138614,0,0.04950495049504951
AGO,Angola,Global South,Sub-Saharan Africa,2007,79,44,0,6,0.5569620253164557,0,0.0759493670886076
AGO,Angola,Global South,Sub-Saharan Africa,2008,78,69,1,3,0.8846153846153846,0.01282051282051282,0.038461538461538464
AGO,Angola,Global South,Sub-Saharan Africa,2009,68,62,0,2,0.9117647058823529,0,0.029411764705882353
AGO,Angola,Global South,Sub-Saharan Africa,2010,72,60,0,3,0.8333333333333334,0,0.041666666666666664
AGO,Angola,Global South,Sub-Saharan Africa,2011,69,51,1,4,0.7391304347826086,0.014492753623188406,0.057971014492753624
AGO,Angola,Global South,Sub-Saharan Africa,2012,74,63,0,9,0.8513513513513513,0,0.12162162162162163
AGO,Angola,Global South,Sub-Saharan Africa,2013,64,55,0,5,0.859375,0,0.078125
AGO,Angola,Global South,Sub-Saharan Africa,2014,80,73,0,6,0.9125,0,0.075
AGO,Angola,Global South,Sub-Saharan Africa,2015,78,43,0,7,0.5512820512820513,0,0.08974358974358974
AGO,Angola,Global South,Sub-Saharan Africa,2016,81,71,2,3,0.8765432098765432,0.024691358024691357,0.037037037037037035
AGO,Angola,Global South,Sub-Saharan Africa,2017,94,82,0,9,0.8723404255319149,0,0.09574468085106383
AGO,Angola,Global South,Sub-Saharan Africa,2018,107,88,0,4,0.822429906542056,0,0.037383177570093455
AGO,Angola,Global South,Sub-Saharan Africa,2019,100,90,0,4,0.9,0,0.04
AGO,Angola,Global South,Sub-Saharan Africa,2020,100,78,1,7,0.78,0.01,0.07
AGO,Angola,Global South,Sub-Saharan Africa,2021,86,76,0,7,0.8837209302325582,0,0.08139534883720931
AGO,Angola,Global South,Sub-Saharan Africa,2022,89,77,0,12,0.8651685393258427,0,0.1348314606741573
AGO,Angola,Global South,Sub-Saharan Africa,2023,88,78,0,7,0.8863636363636364,0,0.07954545454545454
AGO,Angola,Global South,Sub-Saharan Africa,2024,95,84,0,8,0.8842105263157894,0,0.08421052631578947
ARE,United Arab Emirates,Global South,Middle East & North Africa,2004,73,66,1,6,0.9041095890410958,0.0136986301369863,0.0821917808219178
ARE,United Arab Emirates,Global South,Middle East & North Africa,2005,75,68,2,4,0.9066666666666666,0.02666666666666667,0.05333333333333334
ARE,United Arab Emirates,Global South,Middle East & North Africa,2006,101,93,0,8,0.9207920792079208,0,0.07920792079207921
ARE,United Arab Emirates,Global South,Middle East & North Africa,2007,79,73,0,6,0.9240506329113924,0,0.0759493670886076
ARE,United Arab Emirates,Global South,Middle East & North Africa,2008,78,67,0,11,0.8589743589743589,0,0.14102564102564102
ARE,United Arab Emirates,Global South,Middle East & North Africa,2009,68,61,1,5,0.8970588235294118,0.014705882352941176,0.07352941176470588
ARE,United Arab Emirates,Global South,Middle East & North Africa,2010,72,66,1,5,0.9166666666666666,0.013888888888888888,0.06944444444444445
ARE,United Arab Emirates,Global South,Middle East & North Africa,2011,69,64,0,4,0.927536231884058,0,0.057971014492753624
ARE,United Arab Emirates,Global South,Middle East & North Africa,2012,74,66,1,7,0.8918918918918919,0.013513513513513514,0.0945945945945946
ARE,United Arab Emirates,Global South,Middle East & North Africa,2013,64,60,0,4,0.9375,0,0.0625
ARE,United Arab Emirates,Global South,Middle East & North Africa,2014,80,73,1,5,0.9125,0.0125,0.0625
ARE,United Arab Emirates,Global South,Middle East & North Africa,2015,78,72,0,6,0.9230769230769231,0,0.07692307692307693
ARE,United Arab Emirates,Global South,Middle East & North Africa,2016,81,72,1,7,0.8888888888888888,0.012345679012345678,0.08641975308641975
ARE,United Arab Emirates,Global South,Middle East & North Africa,2017,94,88,0,6,0.9361702127659575,0,0.06382978723404255
ARE,United Arab Emirates,Global South,Middle East & North Africa,2018,107,97,1,9,0.9065420560747663,0.009345794392523364,0.08411214953271028
ARE,United Arab Emirates,Global South,Middle East & North Africa,2019,100,93,0,7,0.93,0,0.07
ARE,United Arab Emirates,Global South,Middle East & North Africa,2020,100,92,1,6,0.92,0.01,0.06
ARE,United Arab Emirates,Global South,Middle East & North Africa,2021,86,79,0,7,0.9186046511627907,0,0.08139534883720931
ARE,United Arab Emirates,Global South,Middle East & North Africa,2022,89,76,1,12,0.8539325842696629,0.011235955056179775,0.1348314606741573
ARE,United Arab Emirates,Global South,Middle East & North Africa,2023,88,75,1,12,0.8522727272727273,0.011363636363636364,0.13636363636363635
ARE,United Arab Emirates,Global South,Middle East & North Africa,2024,95,80,1,13,0.8421052631578947,0.010526315789473684,0.1368421052631579
ARG,Argentina,Global South,Latin America & Caribbean,2004,73,60,0,13,0.821917808219178,0,0.1780821917808219
ARG,Argentina,Global South,Latin America & Caribbean,2005,75,64,0,11,0.8533333333333334,0,0.14666666666666667
ARG,Argentina,Global South,Latin America & Caribbean,2006,101,93,1,7,0.9207920792079208,0.009900990099009901,0.06930693069306931
ARG,Argentina,Global South,Latin America & Caribbean,2007,79,72,0,7,0.9113924050632911,0,0.08860759493670886
ARG,Argentina,Global South,Latin America & Caribbean,2008,78,69,0,9,0.8846153846153846,0,0.11538461538461539
ARG,Argentina,Global South,Latin America & Caribbean,2009,68,60,0,7,0.8823529411764706,0,0.10294117647058823
ARG,Argentina,Global South,Latin America & Caribbean,2010,72,64,1,7,0.8888888888888888,0.013888888888888888,0.09722222222222222
ARG,Argentina,Global South,Latin America & Caribbean,2011,69,62,0,7,0.8985507246376812,0,0.10144927536231885
ARG,Argentina,Global South,Latin America & Caribbean,2012,74,69,0,5,0.9324324324324325,0,0.06756756756756757
ARG,Argentina,Global South,Latin America & Caribbean,2013,64,57,1,6,0.890625,0.015625,0.09375
ARG,Argentina,Global South,Latin America & Caribbean,2014,80,74,0,6,0.925,0,0.075
ARG,Argentina,Global South,Latin America & Caribbean,2015,78,72,0,6,0.9230769230769231,0,0.07692307692307693
ARG,Argentina,Global South,Latin America & Caribbean,2016,81,74,0,7,0.9135802469135802,0,0.08641975308641975
ARG,Argentina,Global South,Latin America & Caribbean,2017,94,84,0,10,0.8936170212765957,0,0.10638297872340426
ARG,Argentina,Global South,Latin America & Caribbean,2018,107,93,0,14,0.8691588785046729,0,0.1308411214953271
