iso3c,country,year,country_name_wdi,global_group,region,include_flag,who_name_override,wgi_name_override,notes,indicator,value
USA,United States,2004,United States,Global North,North America,yes,NA,NA,NA,SH.XPD.CHEX.GD.ZS,14.55123138
USA,United States,2004,United States,Global North,North America,yes,NA,NA,NA,SH.MED.PHYS.ZS,2.711
USA,United States,2004,United States,Global North,North America,yes,NA,NA,NA,SH.MED.NUMW.P3,10.3
USA,United States,2004,United States,Global North,North America,yes,NA,NA,NA,SH.MED.BEDS.ZS,3.26
USA,United States,2004,United States,Global North,North America,yes,NA,NA,NA,SP.DYN.LE00.IN,77.4878048780488
USA,United States,2004,United States,Global North,North America,yes,NA,NA,NA,NY.GDP.PCAP.PP.KD,58131.6336853496
USA,United States,2004,United States,Global North,North America,yes,NA,NA,NA,SP.POP.TOTL,292805298
USA,United States,2004,United States,Global North,North America,yes,NA,NA,NA,SE.ADT.LITR.ZS,NA
USA,United States,2004,United States,Global North,North America,yes,NA,NA,NA,IT.NET.USER.ZS,64.7582564759896
USA,United States,2004,United States,Global North,North America,yes,NA,NA,NA,GB.XPD.RSDV.GD.ZS,2.48685
USA,United States,2005,United States,Global North,North America,yes,NA,NA,NA,SH.XPD.CHEX.GD.ZS,14.57946205
USA,United States,2005,United States,Global North,North America,yes,NA,NA,NA,SH.MED.PHYS.ZS,NA
USA,United States,2005,United States,Global North,North America,yes,NA,NA,NA,SH.MED.NUMW.P3,10.41
USA,United States,2005,United States,Global North,North America,yes,NA,NA,NA,SH.MED.BEDS.ZS,3.2
USA,United States,2005,United States,Global North,North America,yes,NA,NA,NA,SP.DYN.LE00.IN,77.4878048780488
USA,United States,2005,United States,Global North,North America,yes,NA,NA,NA,NY.GDP.PCAP.PP.KD,59604.7536374577
USA,United States,2005,United States,Global North,North America,yes,NA,NA,NA,SP.POP.TOTL,295516599
USA,United States,2005,United States,Global North,North America,yes,NA,NA,NA,SE.ADT.LITR.ZS,NA
USA,United States,2005,United States,Global North,North America,yes,NA,NA,NA,IT.NET.USER.ZS,67.9681015
USA,United States,2005,United States,Global North,North America,yes,NA,NA,NA,GB.XPD.RSDV.GD.ZS,2.50192
USA,United States,2006,United States,Global North,North America,yes,NA,NA,NA,SH.XPD.CHEX.GD.ZS,14.70878792
