iso3c,country_name_wdi,global_group,region,year,GHED_EXTCHE_SHA2011,UHC_INDEX_REPORTED,UHC_SCI_CAPACITY,UHC_SCI_INFECT,UHC_SCI_NCD,UHC_SCI_RMNCH,SDGIHR,UHC_IHR,SDGIHR2018,SDGIHR2021,UHC_AVAILABILITY_SCORE
AGO,Angola,Global South,Sub-Saharan Africa,2004,1.92934799,30,31,11,56,41,NA,NA,NA,NA,NA
AGO,Angola,Global South,Sub-Saharan Africa,2005,3.03782797,31,32,12,57,42,NA,NA,NA,NA,NA
AGO,Angola,Global South,Sub-Saharan Africa,2006,5.85645962,34,33,17,57,42,NA,NA,NA,NA,NA
AGO,Angola,Global South,Sub-Saharan Africa,2007,2.69763899,37,33,23,58,43,NA,NA,NA,NA,NA
AGO,Angola,Global South,Sub-Saharan Africa,2008,2.4888041,38,34,25,58,43,NA,NA,NA,NA,NA
AGO,Angola,Global South,Sub-Saharan Africa,2009,3.82744431,38,35,23,58,44,NA,NA,NA,NA,NA
AGO,Angola,Global South,Sub-Saharan Africa,2010,3.24644613,38,34,25,58,44,NA,NA,NA,NA,NA
AGO,Angola,Global South,Sub-Saharan Africa,2011,2.8612268,39,33,26,58,45,41,41,NA,NA,NA
AGO,Angola,Global South,Sub-Saharan Africa,2012,2.17543125,37,32,23,58,45,NA,NA,NA,NA,NA
AGO,Angola,Global South,Sub-Saharan Africa,2013,2.56596041,37,31,24,59,45,41,41,NA,NA,NA
AGO,Angola,Global South,Sub-Saharan Africa,2014,3.17014694,37,23,32,59,45,18,18,NA,NA,NA
AGO,Angola,Global South,Sub-Saharan Africa,2015,2.67032242,39,29,31,59,45,NA,NA,NA,NA,NA
AGO,Angola,Global South,Sub-Saharan Africa,2016,3.64164376,40,32,31,59,45,NA,NA,NA,NA,NA
AGO,Angola,Global South,Sub-Saharan Africa,2017,3.11478901,42,33,34,59,45,75.23131,NA,NA,NA,NA
AGO,Angola,Global South,Sub-Saharan Africa,2018,3.63668633,41,29,37,59,46,NA,NA,59,NA,NA
AGO,Angola,Global South,Sub-Saharan Africa,2019,3.95930076,45,35,42,60,45,NA,NA,63,NA,NA
AGO,Angola,Global South,Sub-Saharan Africa,2020,5.42787266,43,40,33,60,45,NA,NA,65,NA,NA
AGO,Angola,Global South,Sub-Saharan Africa,2021,4.63837242,38,36,22,60,44,NA,NA,NA,40,NA
AGO,Angola,Global South,Sub-Saharan Africa,2022,4.6001029,45,44,35,60,44,NA,NA,NA,58,NA
AGO,Angola,Global South,Sub-Saharan Africa,2023,7.16891336,44,44,32,60,46,NA,NA,NA,57.4667,50
AGO,Angola,Global South,Sub-Saharan Africa,2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,NA
ARE,United Arab Emirates,Global South,Middle East & North Africa,2004,0,74,66,99,66,68,NA,NA,NA,NA,NA
ARE,United Arab Emirates,Global South,Middle East & North Africa,2005,0,71,58,99,66,68,NA,NA,NA,NA,NA
ARE,United Arab Emirates,Global South,Middle East & North Africa,2006,0,71,59,99,66,68,NA,NA,NA,NA,NA
ARE,United Arab Emirates,Global South,Middle East & North Africa,2007,0,72,62,99,66,67,NA,NA,NA,NA,NA
ARE,United Arab Emirates,Global South,Middle East & North Africa,2008,0,72,62,99,67,67,NA,NA,NA,NA,NA
