iso3c,year,un_degree,un_strength,un_eigen,un_betweenness,un_closeness,un_local_clustering,un_network_density,un_network_clustering,un_network_components,country_name_wdi,global_group,region,include_flag,who_name_override,wgi_name_override,notes
AGO,2004,0.24242424242424243,22.66695885402877,0,0.026180169037311893,0.527854512078412,0.46376811594202894,0.15393939393939393,0.5900062761855849,2,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
ARE,2004,0.1111111111111111,10.531489033074607,0,0.0012368583797155227,0.4600810858384183,0.6727272727272727,0.15393939393939393,0.5900062761855849,2,United Arab Emirates,Global South,Middle East & North Africa,yes,NA,NA,NA
ARG,2004,0.1111111111111111,9.07597834699149,0,2.0614306328592042e-4,0.42752231544792285,0.4,0.15393939393939393,0.5900062761855849,2,Argentina,Global South,Latin America & Caribbean,yes,NA,NA,NA
AUS,2004,0.12121212121212122,8.305931239611583,0.2847990531454555,0.0016491445062873633,0.47189788691554413,0.5454545454545454,0.15393939393939393,0.5900062761855849,2,Australia,Global North,East Asia & Pacific,yes,NA,NA,NA
AUT,2004,0.23232323232323232,21.70101943472096,0.7398797146424014,0.0034906892049749194,0.6427294886963097,0.5177865612648221,0.15393939393939393,0.5900062761855849,2,Austria,Global North,Europe,yes,NA,NA,NA
AZE,2004,0.12121212121212122,10.504507881873952,0,0.0032982890125747267,0.46540218945426287,0.5303030303030303,0.15393939393939393,0.5900062761855849,2,Azerbaijan,Global South,Europe & Central Asia,yes,NA,NA,NA
BEL,2004,0.1111111111111111,10.703420523138831,0.4815572880732665,0,0.5368045465767248,0.8909090909090909,0.15393939393939393,0.5900062761855849,2,Belgium,Global North,Europe,yes,NA,NA,NA
BGD,2004,0.15151515151515152,14.49745137491616,0,0,0.46548402597145233,0.6571428571428571,0.15393939393939393,0.5900062761855849,2,Bangladesh,Global South,South Asia,yes,NA,NA,NA
BGR,2004,0.30303030303030304,28.83952175763868,1,0.011736411736411738,0.7359321445794841,0.4390804597701149,0.15393939393939393,0.5900062761855849,2,Bulgaria,Global North,Europe,yes,NA,NA,NA
BOL,2004,0.1414141414141414,12.871933984390306,0,0.0010307153164296021,0.5079120833866888,0.4945054945054945,0.15393939393939393,0.5900062761855849,2,Bolivia,Global South,Latin America & Caribbean,yes,NA,NA,NA
BRA,2004,0.1111111111111111,9.637387150648264,0,0.0024737167594310453,0.48339407429169934,0.34545454545454546,0.15393939393939393,0.5900062761855849,2,Brazil,Global South,Latin America & Caribbean,yes,NA,NA,NA
BWA,2004,0.1919191919191919,18.116274149237857,0,0.006802721088435374,0.5184232635626225,0.5029239766081871,0.15393939393939393,0.5900062761855849,2,Botswana,Global South,Sub-Saharan Africa,yes,NA,NA,NA
CAN,2004,0.13131313131313133,10.369014084507041,0.36913017702666007,6.184291898577613e-4,0.523705316085895,0.5384615384615384,0.15393939393939393,0.5900062761855849,2,Canada,Global North,North America,yes,NA,NA,NA
CHE,2004,0.15151515151515152,14.10266550996802,0.527513483409771,0.002370645227788085,0.5646079547527536,0.6476190476190476,0.15393939393939393,0.5900062761855849,2,Switzerland,Global North,Europe,yes,NA,NA,NA
CHL,2004,0.10101010101010101,8.721407285844805,0,2.0614306328592042e-4,0.45850232776182204,0.6666666666666666,0.15393939393939393,0.5900062761855849,2,Chile,Global North,Latin America & Caribbean,yes,NA,NA,NA
CHN,2004,0.1414141414141414,12.953297996261487,0,8.245722531436817e-4,0.4245980625003608,0.6263736263736264,0.15393939393939393,0.5900062761855849,2,China,Global South,East Asia & Pacific,yes,NA,NA,NA
CMR,2004,0.10101010101010101,8.08328489956612,0,0,0.39908317877047433,0.8444444444444444,0.15393939393939393,0.5900062761855849,2,Cameroon,Global South,Sub-Saharan Africa,yes,NA,NA,NA
COL,2004,0.10101010101010101,9.440052227230227,0,6.184291898577613e-4,0.46873116171892093,0.7777777777777778,0.15393939393939393,0.5900062761855849,2,Colombia,Global South,Latin America & Caribbean,yes,NA,NA,NA
CRI,2004,0.1111111111111111,9.852901213648845,0,0,0.449363955127123,0.7090909090909091,0.15393939393939393,0.5900062761855849,2,Costa Rica,Global South,Latin America & Caribbean,yes,NA,NA,NA
CYP,2004,0.13131313131313133,12.011798722318693,0.4155217006534416,0.0010307153164296021,0.5429305396041354,0.5128205128205129,0.15393939393939393,0.5900062761855849,2,Cyprus,Global North,Europe,yes,NA,NA,NA
CZE,2004,0.24242424242424243,22.17418140603007,0.7606232487449629,0.004947433518862091,0.6542590863455593,0.4891304347826087,0.15393939393939393,0.5900062761855849,2,Czechia,Global North,Europe,yes,NA,NA,NA
DEU,2004,0.1414141414141414,12.393388106416273,0.5151960263494731,0.001443001443001443,0.5566820178531848,0.6703296703296703,0.15393939393939393,0.5900062761855849,2,Germany,Global North,Europe,yes,NA,NA,NA
DNK,2004,0.23232323232323232,21.19676223245102,0.6667607387772718,0.011791383219954647,0.6444828555631162,0.42687747035573126,0.15393939393939393,0.5900062761855849,2,Denmark,Global North,Europe,yes,NA,NA,NA
DOM,2004,0.12121212121212122,10.53680672033385,0,0,0.4221644641817959,0.7575757575757577,0.15393939393939393,0.5900062761855849,2,Dominican Republic,Global South,Latin America & Caribbean,yes,NA,NA,NA
DZA,2004,0.16161616161616163,14.904006640700642,0,0.003916718202432488,0.5062057430127578,0.38333333333333336,0.15393939393939393,0.5900062761855849,2,Algeria,Global South,Middle East & North Africa,yes,NA,NA,NA
ECU,2004,0.15151515151515152,14.157209274888885,0,0.001958359101216244,0.4934722692977332,0.5428571428571428,0.15393939393939393,0.5900062761855849,2,Ecuador,Global South,Latin America & Caribbean,yes,NA,NA,NA
EGY,2004,0.1111111111111111,10.575181664736162,0,4.1228612657184083e-4,0.42370837119972804,0.7272727272727273,0.15393939393939393,0.5900062761855849,2,"Egypt, Arab Rep.",Global South,Middle East & North Africa,yes,NA,NA,NA
ESP,2004,0.1111111111111111,10.628424657534246,0.39947729321883213,0,0.5291633779495075,0.8909090909090909,0.15393939393939393,0.5900062761855849,2,Spain,Global North,Europe,yes,NA,NA,NA
EST,2004,0.13131313131313133,12.491758498630869,0.5079738025947719,6.184291898577613e-4,0.5520740490041258,0.6410256410256411,0.15393939393939393,0.5900062761855849,2,Estonia,Global North,Europe,yes,NA,NA,NA
ETH,2004,0.12121212121212122,11.323713130531061,0,0,0.46072578396442776,0.7575757575757577,0.15393939393939393,0.5900062761855849,2,Ethiopia,Global South,Sub-Saharan Africa,yes,NA,NA,NA
FIN,2004,0.2222222222222222,20.60466068863715,0.6890619407322269,0.008286951144094,0.6362861614228856,0.5021645021645021,0.15393939393939393,0.5900062761855849,2,Finland,Global North,Europe,yes,NA,NA,NA
FRA,2004,0.12121212121212122,9.777973395931143,0.391495650699354,0.0022675736961451248,0.5214318696806307,0.6515151515151515,0.15393939393939393,0.5900062761855849,2,France,Global North,Europe,yes,NA,NA,NA
GBR,2004,0.12121212121212122,9.669232441835183,0.33728517412766545,0.003916718202432488,0.5181276428247862,0.6060606060606061,0.15393939393939393,0.5900062761855849,2,United Kingdom,Global North,Europe,yes,NA,NA,NA
GEO,2004,0.12121212121212122,11.347158218125962,0.46058954696638243,0.0020614306328592042,0.5343714373672885,0.6212121212121212,0.15393939393939393,0.5900062761855849,2,Georgia,Global South,Europe & Central Asia,yes,NA,NA,NA
GHA,2004,0.24242424242424243,23.0613409361049,0,0.019016697588126158,0.5692389317251095,0.44202898550724634,0.15393939393939393,0.5900062761855849,2,Ghana,Global South,Sub-Saharan Africa,yes,NA,NA,NA
GRC,2004,0.13131313131313133,12.678565353473495,0.45575629587039823,0,0.5477256195064947,0.8076923076923076,0.15393939393939393,0.5900062761855849,2,Greece,Global North,Europe,yes,NA,NA,NA
GTM,2004,0.12121212121212122,10.781293798461947,0,2.0614306328592042e-4,0.4201045421202163,0.7575757575757577,0.15393939393939393,0.5900062761855849,2,Guatemala,Global South,Latin America & Caribbean,yes,NA,NA,NA
HRV,2004,0.23232323232323232,21.70101943472096,0.7398797146424014,0.0034906892049749194,0.6427294886963097,0.5177865612648221,0.15393939393939393,0.5900062761855849,2,Croatia,Global North,Europe,yes,NA,NA,NA
HUN,2004,0.20202020202020202,19.54350872258641,0.7157756691016337,0.002391259534116677,0.6167681598971021,0.5526315789473685,0.15393939393939393,0.5900062761855849,2,Hungary,Global North,Europe,yes,NA,NA,NA
IDN,2004,0.16161616161616163,15.462117070765537,0,0.005462791177076891,0.4692647988964994,0.6333333333333333,0.15393939393939393,0.5900062761855849,2,Indonesia,Global South,East Asia & Pacific,yes,NA,NA,NA
