iso3c,year,indicator_code,value,value_text,parent_location,parent_location_code,indicator_label,country_name_wdi,global_group,region,include_flag,who_name_override,wgi_name_override,notes
AGO,2004,GHED_EXTCHE_SHA2011,1.92934799,1.93,Africa,AFR,External health expenditure as percentage of current health expenditure,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2004,UHC_INDEX_REPORTED,30,30,Africa,AFR,UHC service coverage index,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2004,UHC_SCI_CAPACITY,31,31,Africa,AFR,UHC service coverage sub-index on service capacity and access,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2004,UHC_SCI_INFECT,11,11,Africa,AFR,UHC service coverage sub-index on infectious diseases,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2004,UHC_SCI_NCD,56,56,Africa,AFR,UHC service coverage sub-index on noncommunicable diseases,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2004,UHC_SCI_RMNCH,41,41,Africa,AFR,"UHC service coverage sub-index on reproductive, maternal, newborn and child health",Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2005,GHED_EXTCHE_SHA2011,3.03782797,3.04,Africa,AFR,External health expenditure as percentage of current health expenditure,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2005,UHC_INDEX_REPORTED,31,31,Africa,AFR,UHC service coverage index,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2005,UHC_SCI_CAPACITY,32,32,Africa,AFR,UHC service coverage sub-index on service capacity and access,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2005,UHC_SCI_INFECT,12,12,Africa,AFR,UHC service coverage sub-index on infectious diseases,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2005,UHC_SCI_NCD,57,57,Africa,AFR,UHC service coverage sub-index on noncommunicable diseases,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2005,UHC_SCI_RMNCH,42,42,Africa,AFR,"UHC service coverage sub-index on reproductive, maternal, newborn and child health",Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2006,GHED_EXTCHE_SHA2011,5.85645962,5.86,Africa,AFR,External health expenditure as percentage of current health expenditure,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2006,UHC_INDEX_REPORTED,34,34,Africa,AFR,UHC service coverage index,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2006,UHC_SCI_CAPACITY,33,33,Africa,AFR,UHC service coverage sub-index on service capacity and access,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2006,UHC_SCI_INFECT,17,17,Africa,AFR,UHC service coverage sub-index on infectious diseases,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2006,UHC_SCI_NCD,57,57,Africa,AFR,UHC service coverage sub-index on noncommunicable diseases,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
